Short Stories;['40745', '314', 'Dostoyevsky, Fyodor', 'Short Stories', 'NA', 'en', 'TRUE']
Children of the Frost;['10736', '120', 'London, Jack', 'Children of the Frost', 'Native America', 'en', 'TRUE']
A New Voyage Round the World by a Course Never Sailed Before;['35774', '204', 'Defoe, Daniel', 'A New Voyage Round the World by a Course Never Sailed Before', 'NA', 'en', 'TRUE']
The Life and Most Surprising Adventures of Robinson Crusoe, of York, Mariner (1801);['11866', '204', 'Defoe, Daniel', 'The Life and Most Surprising Adventures of Robinson Crusoe, of York, Mariner (1801)', 'NA', 'en', 'TRUE']
Crito;['1657', '93', 'Plato', 'Crito', 'Harvard Classics', 'en', 'TRUE']
1601: Conversation as it was by the Social Fireside in the Time of the Tudors;['3190', '53', 'Twain, Mark', '1601: Conversation as it was by the Social Fireside in the Time of the Tudors', 'NA', 'en', 'TRUE']
Henry V;['2253', '65', 'Shakespeare, William', 'Henry V', 'NA', 'en', 'TRUE']
The Picture of Dorian Gray;['174', '111', 'Wilde, Oscar', 'The Picture of Dorian Gray', 'Movie Books/Gothic Fiction', 'en', 'TRUE']
Herodias;['1291', '574', 'Flaubert, Gustave', 'Herodias', 'NA', 'en', 'TRUE']
Little Dorrit;['963', '37', 'Dickens, Charles', 'Little Dorrit', 'NA', 'en', 'TRUE']
Lulu's Library, Volume 3 (of 3);"['40683', '102', 'Alcott, Louisa May', ""Lulu's Library, Volume 3 (of 3)"", 'NA', 'en', 'TRUE']"
An Answer to a Question that Nobody thinks of, viz., But what if the Queen should Die?;['36681', '204', 'Defoe, Daniel', 'An Answer to a Question that Nobody thinks of, viz., But what if the Queen should Die?', 'NA', 'en', 'TRUE']
The Valley of the Moon;['1449', '120', 'London, Jack', 'The Valley of the Moon', 'NA', 'en', 'TRUE']
Bleak House;['1023', '37', 'Dickens, Charles', 'Bleak House', 'NA', 'en', 'TRUE']
Michael, Brother of Jerry;['1730', '120', 'London, Jack', 'Michael, Brother of Jerry', 'NA', 'en', 'TRUE']
"A Modern Cinderella; Or, The Little Old Shoe, and Other Stories";"['3806', '102', 'Alcott, Louisa May', 'A Modern Cinderella; Or, The Little Old Shoe, and Other Stories', ""Children's Literature"", 'en', 'TRUE']"
Adventure;['1163', '120', 'London, Jack', 'Adventure', 'NA', 'en', 'TRUE']
Lady Susan;['946', '68', 'Austen, Jane', 'Lady Susan', 'NA', 'en', 'TRUE']
Going into Society;['1422', '37', 'Dickens, Charles', 'Going into Society', 'NA', 'en', 'TRUE']
The Duchess of Padua;['875', '111', 'Wilde, Oscar', 'The Duchess of Padua', 'NA', 'en', 'TRUE']
Fighting France, from Dunkerque to Belfort;['4550', '104', 'Wharton, Edith', 'Fighting France, from Dunkerque to Belfort', 'World War I', 'en', 'TRUE']
The Life and Adventures of Robinson Crusoe (1808);['12623', '204', 'Defoe, Daniel', 'The Life and Adventures of Robinson Crusoe (1808)', 'NA', 'en', 'TRUE']
Charmides, and Other Poems;['1031', '111', 'Wilde, Oscar', 'Charmides, and Other Poems', 'NA', 'en', 'TRUE']
The Phoenix and the Turtle;['1525', '65', 'Shakespeare, William', 'The Phoenix and the Turtle', 'NA', 'en', 'TRUE']
The Mysterious Key and What It Opened;"['8188', '102', 'Alcott, Louisa May', 'The Mysterious Key and What It Opened', ""Children's Literature"", 'en', 'TRUE']"
"Pearl-Fishing; Choice Stories from Dickens' Household Words; Second Series";"['50334', '37', 'Dickens, Charles', ""Pearl-Fishing; Choice Stories from Dickens' Household Words; Second Series"", 'NA', 'en', 'TRUE']"
The Jacket (The Star-Rover);['1162', '120', 'London, Jack', 'The Jacket (The Star-Rover)', 'NA', 'en', 'TRUE']
Dutch Courage and Other Stories;['14449', '120', 'London, Jack', 'Dutch Courage and Other Stories', 'NA', 'en', 'TRUE']
Richard III;['2257', '65', 'Shakespeare, William', 'Richard III', 'NA', 'en', 'TRUE']
Lady Windermere's Fan;"['790', '111', 'Wilde, Oscar', ""Lady Windermere's Fan"", 'NA', 'en', 'TRUE']"
The Odyssey of Homer;['24269', '705', 'Homer', 'The Odyssey of Homer', 'Classical Antiquity/Poetry', 'en', 'TRUE']
Memoirs of Major Alexander Ramkins (1718);['14442', '204', 'Defoe, Daniel', 'Memoirs of Major Alexander Ramkins (1718)', 'NA', 'en', 'TRUE']
The House of Mirth;['284', '104', 'Wharton, Edith', 'The House of Mirth', 'Bestsellers, American, 1895-1923', 'en', 'TRUE']
The Life of King Henry V;['1521', '65', 'Shakespeare, William', 'The Life of King Henry V', 'NA', 'en', 'TRUE']
A Doll's House;"['15492', '861', 'Ibsen, Henrik', ""A Doll's House"", 'Best Books Ever Listings', 'en', 'TRUE']"
